@relation 'auto-mpg-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N1:NorthAmerica,2:Europe,3:Asia'

@attribute mpg numeric
@attribute cylinders {3,4,5,6,8}
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute 'model year' numeric
@attribute origin {NorthAmerica,Europe,Asia}
@attribute 'car name' {'chevrolet chevelle malibu','buick skylark 320','plymouth satellite','amc rebel sst','ford torino','ford galaxie 500','chevrolet impala','plymouth fury iii','pontiac catalina','amc ambassador dpl','dodge challenger se','plymouth \'cuda 340','chevrolet monte carlo','buick estate wagon (sw)','toyota corona mark ii','plymouth duster','amc hornet','ford maverick','datsun pl510','volkswagen 1131 deluxe sedan','peugeot 504','audi 100 ls','saab 99e','bmw 2002','amc gremlin','ford f250','chevy c20','dodge d200','hi 1200d','chevrolet vega 2300','toyota corona','ford pinto','plymouth satellite custom','ford torino 500','amc matador','pontiac catalina brougham','dodge monaco (sw)','ford country squire (sw)','pontiac safari (sw)','amc hornet sportabout (sw)','chevrolet vega (sw)','pontiac firebird','ford mustang','mercury capri 2000','opel 1900','peugeot 304','fiat 124b','toyota corolla 1200','datsun 1200','volkswagen model 111','plymouth cricket','toyota corona hardtop','dodge colt hardtop','volkswagen type 3','chevrolet vega','ford pinto runabout','amc ambassador sst','mercury marquis','buick lesabre custom','oldsmobile delta 88 royale','chrysler newport royal','mazda rx2 coupe','amc matador (sw)','chevrolet chevelle concours (sw)','ford gran torino (sw)','plymouth satellite custom (sw)','volvo 145e (sw)','volkswagen 411 (sw)','peugeot 504 (sw)','renault 12 (sw)','ford pinto (sw)','datsun 510 (sw)','toyouta corona mark ii (sw)','dodge colt (sw)','toyota corolla 1600 (sw)','buick century 350','chevrolet malibu','ford gran torino','dodge coronet custom','mercury marquis brougham','chevrolet caprice classic','ford ltd','plymouth fury gran sedan','chrysler new yorker brougham','buick electra 225 custom','amc ambassador brougham','plymouth valiant','chevrolet nova custom','volkswagen super beetle','ford country','plymouth custom suburb','oldsmobile vista cruiser','toyota carina','datsun 610','maxda rx3','mercury capri v6','fiat 124 sport coupe','chevrolet monte carlo s','pontiac grand prix','fiat 128','opel manta','audi 100ls','volvo 144ea','dodge dart custom','saab 99le','toyota mark ii','oldsmobile omega','chevrolet nova','datsun b210','chevrolet chevelle malibu classic','plymouth satellite sebring','buick century luxus (sw)','dodge coronet custom (sw)','audi fox','volkswagen dasher','datsun 710','dodge colt','fiat 124 tc','honda civic',subaru,'fiat x1.9','plymouth valiant custom','mercury monarch','chevrolet bel air','plymouth grand fury','buick century','chevroelt chevelle malibu','plymouth fury','buick skyhawk','chevrolet monza 2+2','ford mustang ii','toyota corolla','pontiac astro','volkswagen rabbit','amc pacer','volvo 244dl','honda civic cvcc','fiat 131','capri ii','renault 12tl','dodge coronet brougham','chevrolet chevette','chevrolet woody','vw rabbit','dodge aspen se','ford granada ghia','pontiac ventura sj','amc pacer d/l','datsun b-210','volvo 245','plymouth volare premier v8','mercedes-benz 280s','cadillac seville','chevy c10','ford f108','dodge d100','honda accord cvcc','buick opel isuzu deluxe','renault 5 gtl','plymouth arrow gs','datsun f-10 hatchback','oldsmobile cutlass supreme','dodge monaco brougham','mercury cougar brougham','chevrolet concours','buick skylark','plymouth volare custom','ford granada','pontiac grand prix lj','chevrolet monte carlo landau','chrysler cordoba','ford thunderbird','volkswagen rabbit custom','pontiac sunbird coupe','toyota corolla liftback','ford mustang ii 2+2','dodge colt m/m','subaru dl','datsun 810','bmw 320i','mazda rx-4','volkswagen rabbit custom diesel','ford fiesta','mazda glc deluxe','datsun b210 gx','oldsmobile cutlass salon brougham','dodge diplomat','mercury monarch ghia','pontiac phoenix lj','ford fairmont (auto)','ford fairmont (man)','plymouth volare','amc concord','buick century special','mercury zephyr','dodge aspen','amc concord d/l','buick regal sport coupe (turbo)','ford futura','dodge magnum xe','datsun 510','dodge omni','toyota celica gt liftback','plymouth sapporo','oldsmobile starfire sx','datsun 200-sx','audi 5000','volvo 264gl','saab 99gle','peugeot 604sl','volkswagen scirocco','honda accord lx','pontiac lemans v6','mercury zephyr 6','ford fairmont 4','amc concord dl 6','dodge aspen 6','ford ltd landau','mercury grand marquis','dodge st. regis','chevrolet malibu classic (sw)','chrysler lebaron town @ country (sw)','vw rabbit custom','maxda glc deluxe','dodge colt hatchback custom','amc spirit dl','mercedes benz 300d','cadillac eldorado','plymouth horizon','plymouth horizon tc3','datsun 210','fiat strada custom','buick skylark limited','chevrolet citation','oldsmobile omega brougham','pontiac phoenix','toyota corolla tercel','datsun 310','ford fairmont','audi 4000','toyota corona liftback','mazda 626','datsun 510 hatchback','mazda glc','vw rabbit c (diesel)','vw dasher (diesel)','audi 5000s (diesel)','mercedes-benz 240d','honda civic 1500 gl','renault lecar deluxe','vokswagen rabbit','datsun 280-zx','mazda rx-7 gs','triumph tr7 coupe','ford mustang cobra','honda accord','plymouth reliant','dodge aries wagon (sw)','toyota starlet','plymouth champ','honda civic 1300','datsun 210 mpg','toyota tercel','mazda glc 4','plymouth horizon 4','ford escort 4w','ford escort 2h','volkswagen jetta','renault 18i','honda prelude','datsun 200sx','peugeot 505s turbo diesel','volvo diesel','toyota cressida','datsun 810 maxima','oldsmobile cutlass ls','ford granada gl','chrysler lebaron salon','chevrolet cavalier','chevrolet cavalier wagon','chevrolet cavalier 2-door','pontiac j2000 se hatchback','dodge aries se','ford fairmont futura','amc concord dl','volkswagen rabbit l','mazda glc custom l','mazda glc custom','plymouth horizon miser','mercury lynx l','nissan stanza xe','honda civic (auto)','datsun 310 gx','buick century limited','oldsmobile cutlass ciera (diesel)','chrysler lebaron medallion','ford granada l','toyota celica gt','dodge charger 2.2','chevrolet camaro','ford mustang gl','vw pickup','dodge rampage','ford ranger','chevy s-10'}

@data
13,8,350,145,3988,13,73,NorthAmerica,'chevrolet malibu'
14,8,302,137,4042,14.5,73,NorthAmerica,'ford gran torino'
15,8,318,150,3777,12.5,73,NorthAmerica,'dodge coronet custom'
12,8,429,198,4952,11.5,73,NorthAmerica,'mercury marquis brougham'
13,8,400,150,4464,12,73,NorthAmerica,'chevrolet caprice classic'
13,8,351,158,4363,13,73,NorthAmerica,'ford ltd'
14,8,318,150,4237,14.5,73,NorthAmerica,'plymouth fury gran sedan'
13,8,440,215,4735,11,73,NorthAmerica,'chrysler new yorker brougham'
12,8,455,225,4951,11,73,NorthAmerica,'buick electra 225 custom'
13,8,360,175,3821,11,73,NorthAmerica,'amc ambassador brougham'
18,6,225,105,3121,16.5,73,NorthAmerica,'plymouth valiant'
16,6,250,100,3278,18,73,NorthAmerica,'chevrolet nova custom'
18,6,232,100,2945,16,73,NorthAmerica,'amc hornet'
18,6,250,88,3021,16.5,73,NorthAmerica,'ford maverick'
23,6,198,95,2904,16,73,NorthAmerica,'plymouth duster'
26,4,97,46,1950,21,73,Europe,'volkswagen super beetle'
11,8,400,150,4997,14,73,NorthAmerica,'chevrolet impala'
12,8,400,167,4906,12.5,73,NorthAmerica,'ford country'
13,8,360,170,4654,13,73,NorthAmerica,'plymouth custom suburb'
12,8,350,180,4499,12.5,73,NorthAmerica,'oldsmobile vista cruiser'
18,6,232,100,2789,15,73,NorthAmerica,'amc gremlin'
20,4,97,88,2279,19,73,Asia,'toyota carina'
21,4,140,72,2401,19.5,73,NorthAmerica,'chevrolet vega'
22,4,108,94,2379,16.5,73,Asia,'datsun 610'
18,3,70,90,2124,13.5,73,Asia,'maxda rx3'
19,4,122,85,2310,18.5,73,NorthAmerica,'ford pinto'
21,6,155,107,2472,14,73,NorthAmerica,'mercury capri v6'
26,4,98,90,2265,15.5,73,Europe,'fiat 124 sport coupe'
15,8,350,145,4082,13,73,NorthAmerica,'chevrolet monte carlo s'
16,8,400,230,4278,9.5,73,NorthAmerica,'pontiac grand prix'
29,4,68,49,1867,19.5,73,Europe,'fiat 128'
24,4,116,75,2158,15.5,73,Europe,'opel manta'
20,4,114,91,2582,14,73,Europe,'audi 100ls'
19,4,121,112,2868,15.5,73,Europe,'volvo 144ea'
15,8,318,150,3399,11,73,NorthAmerica,'dodge dart custom'
24,4,121,110,2660,14,73,Europe,'saab 99le'
20,6,156,122,2807,13.5,73,Asia,'toyota mark ii'
11,8,350,180,3664,11,73,NorthAmerica,'oldsmobile omega'
20,6,198,95,3102,16.5,74,NorthAmerica,'plymouth duster'
21,6,200,?,2875,17,74,NorthAmerica,'ford maverick'
19,6,232,100,2901,16,74,NorthAmerica,'amc hornet'
15,6,250,100,3336,17,74,NorthAmerica,'chevrolet nova'
31,4,79,67,1950,19,74,Asia,'datsun b210'
26,4,122,80,2451,16.5,74,NorthAmerica,'ford pinto'
32,4,71,65,1836,21,74,Asia,'toyota corolla 1200'
25,4,140,75,2542,17,74,NorthAmerica,'chevrolet vega'
16,6,250,100,3781,17,74,NorthAmerica,'chevrolet chevelle malibu classic'
16,6,258,110,3632,18,74,NorthAmerica,'amc matador'
18,6,225,105,3613,16.5,74,NorthAmerica,'plymouth satellite sebring'
16,8,302,140,4141,14,74,NorthAmerica,'ford gran torino'
13,8,350,150,4699,14.5,74,NorthAmerica,'buick century luxus (sw)'
14,8,318,150,4457,13.5,74,NorthAmerica,'dodge coronet custom (sw)'
14,8,302,140,4638,16,74,NorthAmerica,'ford gran torino (sw)'
14,8,304,150,4257,15.5,74,NorthAmerica,'amc matador (sw)'
29,4,98,83,2219,16.5,74,Europe,'audi fox'
26,4,79,67,1963,15.5,74,Europe,'volkswagen dasher'
26,4,97,78,2300,14.5,74,Europe,'opel manta'
31,4,76,52,1649,16.5,74,Asia,'toyota corona'
32,4,83,61,2003,19,74,Asia,'datsun 710'
28,4,90,75,2125,14.5,74,NorthAmerica,'dodge colt'
24,4,90,75,2108,15.5,74,Europe,'fiat 128'
26,4,116,75,2246,14,74,Europe,'fiat 124 tc'
24,4,120,97,2489,15,74,Asia,'honda civic'
26,4,108,93,2391,15.5,74,Asia,subaru
31,4,79,67,2000,16,74,Europe,'fiat x1.9'
19,6,225,95,3264,16,75,NorthAmerica,'plymouth valiant custom'
18,6,250,105,3459,16,75,NorthAmerica,'chevrolet nova'
15,6,250,72,3432,21,75,NorthAmerica,'mercury monarch'
15,6,250,72,3158,19.5,75,NorthAmerica,'ford maverick'
16,8,400,170,4668,11.5,75,NorthAmerica,'pontiac catalina'
15,8,350,145,4440,14,75,NorthAmerica,'chevrolet bel air'
16,8,318,150,4498,14.5,75,NorthAmerica,'plymouth grand fury'
14,8,351,148,4657,13.5,75,NorthAmerica,'ford ltd'
17,6,231,110,3907,21,75,NorthAmerica,'buick century'
16,6,250,105,3897,18.5,75,NorthAmerica,'chevroelt chevelle malibu'
15,6,258,110,3730,19,75,NorthAmerica,'amc matador'
18,6,225,95,3785,19,75,NorthAmerica,'plymouth fury'
21,6,231,110,3039,15,75,NorthAmerica,'buick skyhawk'
20,8,262,110,3221,13.5,75,NorthAmerica,'chevrolet monza 2+2'
13,8,302,129,3169,12,75,NorthAmerica,'ford mustang ii'
29,4,97,75,2171,16,75,Asia,'toyota corolla'
23,4,140,83,2639,17,75,NorthAmerica,'ford pinto'
20,6,232,100,2914,16,75,NorthAmerica,'amc gremlin'
23,4,140,78,2592,18.5,75,NorthAmerica,'pontiac astro'
24,4,134,96,2702,13.5,75,Asia,'toyota corona'
25,4,90,71,2223,16.5,75,Europe,'volkswagen dasher'
24,4,119,97,2545,17,75,Asia,'datsun 710'
18,6,171,97,2984,14.5,75,NorthAmerica,'ford pinto'
29,4,90,70,1937,14,75,Europe,'volkswagen rabbit'
19,6,232,90,3211,17,75,NorthAmerica,'amc pacer'
23,4,115,95,2694,15,75,Europe,'audi 100ls'
23,4,120,88,2957,17,75,Europe,'peugeot 504'
22,4,121,98,2945,14.5,75,Europe,'volvo 244dl'
25,4,121,115,2671,13.5,75,Europe,'saab 99le'
33,4,91,53,1795,17.5,75,Asia,'honda civic cvcc'
28,4,107,86,2464,15.5,76,Europe,'fiat 131'
25,4,116,81,2220,16.9,76,Europe,'opel 1900'
25,4,140,92,2572,14.9,76,NorthAmerica,'capri ii'
26,4,98,79,2255,17.7,76,NorthAmerica,'dodge colt'
27,4,101,83,2202,15.3,76,Europe,'renault 12tl'
17.5,8,305,140,4215,13,76,NorthAmerica,'chevrolet chevelle malibu classic'
16,8,318,150,4190,13,76,NorthAmerica,'dodge coronet brougham'
15.5,8,304,120,3962,13.9,76,NorthAmerica,'amc matador'
14.5,8,351,152,4215,12.8,76,NorthAmerica,'ford gran torino'
22,6,225,100,3233,15.4,76,NorthAmerica,'plymouth valiant'
22,6,250,105,3353,14.5,76,NorthAmerica,'chevrolet nova'
24,6,200,81,3012,17.6,76,NorthAmerica,'ford maverick'
22.5,6,232,90,3085,17.6,76,NorthAmerica,'amc hornet'
29,4,85,52,2035,22.2,76,NorthAmerica,'chevrolet chevette'
24.5,4,98,60,2164,22.1,76,NorthAmerica,'chevrolet woody'
29,4,90,70,1937,14.2,76,Europe,'vw rabbit'
33,4,91,53,1795,17.4,76,Asia,'honda civic'
20,6,225,100,3651,17.7,76,NorthAmerica,'dodge aspen se'
18,6,250,78,3574,21,76,NorthAmerica,'ford granada ghia'
18.5,6,250,110,3645,16.2,76,NorthAmerica,'pontiac ventura sj'
17.5,6,258,95,3193,17.8,76,NorthAmerica,'amc pacer d/l'
29.5,4,97,71,1825,12.2,76,Europe,'volkswagen rabbit'
32,4,85,70,1990,17,76,Asia,'datsun b-210'
28,4,97,75,2155,16.4,76,Asia,'toyota corolla'
26.5,4,140,72,2565,13.6,76,NorthAmerica,'ford pinto'
20,4,130,102,3150,15.7,76,Europe,'volvo 245'
13,8,318,150,3940,13.2,76,NorthAmerica,'plymouth volare premier v8'
19,4,120,88,3270,21.9,76,Europe,'peugeot 504'
19,6,156,108,2930,15.5,76,Asia,'toyota mark ii'
16.5,6,168,120,3820,16.7,76,Europe,'mercedes-benz 280s'
16.5,8,350,180,4380,12.1,76,NorthAmerica,'cadillac seville'
13,8,350,145,4055,12,76,NorthAmerica,'chevy c10'
13,8,302,130,3870,15,76,NorthAmerica,'ford f108'
13,8,318,150,3755,14,76,NorthAmerica,'dodge d100'
31.5,4,98,68,2045,18.5,77,Asia,'honda accord cvcc'
30,4,111,80,2155,14.8,77,NorthAmerica,'buick opel isuzu deluxe'
36,4,79,58,1825,18.6,77,Europe,'renault 5 gtl'
25.5,4,122,96,2300,15.5,77,NorthAmerica,'plymouth arrow gs'
33.5,4,85,70,1945,16.8,77,Asia,'datsun f-10 hatchback'
17.5,8,305,145,3880,12.5,77,NorthAmerica,'chevrolet caprice classic'
17,8,260,110,4060,19,77,NorthAmerica,'oldsmobile cutlass supreme'
15.5,8,318,145,4140,13.7,77,NorthAmerica,'dodge monaco brougham'
15,8,302,130,4295,14.9,77,NorthAmerica,'mercury cougar brougham'
17.5,6,250,110,3520,16.4,77,NorthAmerica,'chevrolet concours'
20.5,6,231,105,3425,16.9,77,NorthAmerica,'buick skylark'
19,6,225,100,3630,17.7,77,NorthAmerica,'plymouth volare custom'
18.5,6,250,98,3525,19,77,NorthAmerica,'ford granada'
16,8,400,180,4220,11.1,77,NorthAmerica,'pontiac grand prix lj'
15.5,8,350,170,4165,11.4,77,NorthAmerica,'chevrolet monte carlo landau'
15.5,8,400,190,4325,12.2,77,NorthAmerica,'chrysler cordoba'
16,8,351,149,4335,14.5,77,NorthAmerica,'ford thunderbird'
29,4,97,78,1940,14.5,77,Europe,'volkswagen rabbit custom'
24.5,4,151,88,2740,16,77,NorthAmerica,'pontiac sunbird coupe'
26,4,97,75,2265,18.2,77,Asia,'toyota corolla liftback'
25.5,4,140,89,2755,15.8,77,NorthAmerica,'ford mustang ii 2+2'
30.5,4,98,63,2051,17,77,NorthAmerica,'chevrolet chevette'
33.5,4,98,83,2075,15.9,77,NorthAmerica,'dodge colt m/m'
